,variable,value,Actor
0,0,<WikipediaPage 'Avengers: Endgame'>,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']"
1,0,<WikipediaPage 'Rush Hour 3'>,"['Jackie Chan', 'Chris Tucker', 'Hiroyuki Sanada', 'Noémie Lenoir', 'Yvan Attal', 'Youki Kudoh', 'Max von Sydow']"
2,0,<WikipediaPage 'Angels & Demons'>,keyerror
3,0,<WikipediaPage 'The Bourne Legacy (film)'>,"['Jeremy Renner', 'Rachel Weisz', 'Edward Norton', 'Albert Finney', 'Joan Allen', 'Stacey Keach', 'Oscar Isaac', 'Scott Glenn']"
4,0,<WikipediaPage 'Lemony Snicket's A Series of Unfortunate Events'>,"['Jim Carrey', 'Jude Law', 'Liam Aiken', 'Emily Browning', 'Timothy Spall', ""Catherine O'Hara"", 'Billy Connolly', 'Cedric the Entertainer', 'Luis Guzmán', 'Jennifer Coolidge', 'Meryl Streep']"
5,0,<WikipediaPage 'Lara Croft: Tomb Raider'>,"['Angelina Jolie', 'Jon Voight', 'Iain Glen', 'Noah Taylor', 'Daniel Craig']"
6,1,<WikipediaPage 'Pirates of the Caribbean: On Stranger Tides'>,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin R. McNally', 'Geoffrey Rush']"
7,1,<WikipediaPage 'The Legend of Tarzan (film)'>,"['Alexander Skarsgård', 'Samuel L. Jackson', 'Margot Robbie', 'Djimon Hounsou', 'Jim Broadbent', 'Christoph Waltz']"
8,1,<WikipediaPage 'Troy'>,keyerror
9,1,<WikipediaPage 'Batman & Robin (film)'>,"['Arnold Schwarzenegger', 'George Clooney', ""Chris O'Donnell"", 'Uma Thurman', 'Alicia Silverstone', 'Michael Gough', 'Pat Hingle', 'Elle Macpherson']"
