,Actor,value,variable,Title
0,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']",<WikipediaPage 'Avengers: Endgame'>,0,Avengers: Endgame
1,"['Jackie Chan', 'Chris Tucker', 'Hiroyuki Sanada', 'Noémie Lenoir', 'Yvan Attal', 'Youki Kudoh', 'Max von Sydow']",<WikipediaPage 'Rush Hour 3'>,0,Pirates of the Caribbean: On Stranger Tides
2,keyerror,<WikipediaPage 'Angels & Demons'>,0,Avengers: Age of Ultron
3,"['Jeremy Renner', 'Rachel Weisz', 'Edward Norton', 'Albert Finney', 'Joan Allen', 'Stacey Keach', 'Oscar Isaac', 'Scott Glenn']",<WikipediaPage 'The Bourne Legacy (film)'>,0,Star Wars Ep. VII: The Force Awakens
4,"['Jim Carrey', 'Jude Law', 'Liam Aiken', 'Emily Browning', 'Timothy Spall', ""Catherine O'Hara"", 'Billy Connolly', 'Cedric the Entertainer', 'Luis Guzmán', 'Jennifer Coolidge', 'Meryl Streep']",<WikipediaPage 'Lemony Snicket's A Series of Unfortunate Events'>,0,Avengers: Infinity War
5,"['Angelina Jolie', 'Jon Voight', 'Iain Glen', 'Noah Taylor', 'Daniel Craig']",<WikipediaPage 'Lara Croft: Tomb Raider'>,0,Pirates of the Caribbean: At Worlds End
6,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin R. McNally', 'Geoffrey Rush']",<WikipediaPage 'Pirates of the Caribbean: On Stranger Tides'>,1,Justice League
7,"['Alexander Skarsgård', 'Samuel L. Jackson', 'Margot Robbie', 'Djimon Hounsou', 'Jim Broadbent', 'Christoph Waltz']",<WikipediaPage 'The Legend of Tarzan (film)'>,1,Spectre
8,keyerror,<WikipediaPage 'Troy'>,1,Star Wars: The Rise of Skywalker
9,"['Arnold Schwarzenegger', 'George Clooney', ""Chris O'Donnell"", 'Uma Thurman', 'Alicia Silverstone', 'Michael Gough', 'Pat Hingle', 'Elle Macpherson']",<WikipediaPage 'Batman & Robin (film)'>,1,Solo: A Star Wars Story
10,"['Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler', 'Rob Reiner', 'Jon Favreau', 'Jean Dujardin', 'Jon Bernthal']",<WikipediaPage 'The Wolf of Wall Street (2013 film)'>,1,John Carter
11,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson', 'Dave Franco', 'Daniel Radcliffe', 'Lizzy Caplan', 'Jay Chou', 'Sanaa Lathan', 'Michael Caine', 'Morgan Freeman']",<WikipediaPage 'Now You See Me 2'>,1,Batman v Superman: Dawn of Justice
12,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Stellan Skarsgård', 'James Spader', 'Samuel L. Jackson']",<WikipediaPage 'Avengers: Age of Ultron'>,2,The Lion King
13,error,error,2,Tangled
14,keyerror,<WikipediaPage 'Avatar: The Last Airbender'>,2,Spider-Man 3
15,error,<WikipediaPage 'Skyscraper'>,2,Captain America: Civil War
16,error,error,2,Harry Potter and the Half-Blood Prince
17,"['Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane', 'Larry Bryggman']",<WikipediaPage 'Spy Game'>,2,The Hobbit: The Desolation of Smaug
18,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', ""Lupita Nyong'o"", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Peter Mayhew', 'Max von Sydow']",<WikipediaPage 'Star Wars: The Force Awakens'>,3,The Hobbit: The Battle of the Five Armies
19,"['Dane DeHaan', 'Cara Delevingne', 'Clive Owen', 'Rihanna', 'Ethan Hawke', 'Herbie Hancock', 'Kris Wu', 'Rutger Hauer']",<WikipediaPage 'Valerian and the City of a Thousand Planets'>,3,The Fate of the Furious
20,"['Renée Zellweger', 'Matthew Broderick', 'John Goodman', 'Patrick Warburton', 'Chris Rock']",<WikipediaPage 'Bee Movie'>,3,No Time to Die
21,keyerror,<WikipediaPage 'The Call of the Wild'>,3,Avatar
22,error,<WikipediaPage 'Eraser'>,3,Superman Returns
23,error,error,3,The Dark Knight Rises
