,name,bday,nationality,gender
0,['Robert Downey Jr.',Robert John Downey Jr no bday found,,unclear
1, 'Chris Evans',1981-06-13 00:00:00,American,male
2, 'Mark Ruffalo',1967-11-22 00:00:00,American,male
3, 'Chris Hemsworth',1983-08-11 00:00:00,Australian,male
4, 'Scarlett Johansson',1984-11-22 00:00:00,American,female
5, 'Jeremy Renner',1971-01-07 00:00:00,American,male
6, 'Don Cheadle',Donald Frank Cheadle Jr no bday found,,unclear
7, 'Paul Rudd',1969-04-06 00:00:00,American,male
8, 'Brie Larson',1989-10-01 00:00:00,American,female
9, 'Karen Gillan',1987-11-28 00:00:00,Scottish,female
10, 'Danai Gurira',1978-02-14 00:00:00,Zimbabwean-American,female
11, 'Benedict Wong',1970-07-03 00:00:00,British,male
12, 'Jon Favreau',1966-10-19 00:00:00,American,male
13, 'Bradley Cooper',1975-01-05 00:00:00,American,male
14, 'Gwyneth Paltrow', 1972 09 27 September,American,female
15, 'Josh Brolin'],1968-02-12 00:00:00,American,male
16,['Johnny Depp',1963-06-09 00:00:00,American,male
17, 'Penélope Cruz',1974-04-28 00:00:00,Spanish,female
18, 'Ian McShane',1942-09-29 00:00:00,English,male
19, 'Kevin R. McNally',1956-04-27 00:00:00,English,male
20, 'Geoffrey Rush'],1951-07-06 00:00:00,Australian,male
21, 'Aaron Taylor-Johnson',1990-06-13 00:00:00,English,male
22, 'Elizabeth Olsen',1989-02-16 00:00:00,American,female
23, 'Paul Bettany',1971-05-27 00:00:00,English,male
24, 'Cobie Smulders',1982-04-03 00:00:00,Canadian-American,female
25, 'Anthony Mackie',1978-09-23 00:00:00,American,male
26, 'Hayley Atwell',1982-04-05 00:00:00,English,female
27, 'Idris Elba',1972-09-06 00:00:00,English,male
28, 'Stellan Skarsgård',1951-06-13 00:00:00,Swedish,male
29, 'James Spader',1960-02-07 00:00:00,American,male
30, 'Samuel L. Jackson'],1948-12-21 00:00:00,American,male
31,['Harrison Ford',1942-07-13 00:00:00,American,male
32, 'Mark Hamill',1951-09-25 00:00:00,American,male
33, 'Carrie Fisher',Carrie Frances Fisher October 21 1956 December 27 2016 was an American actress and writer no bday found,American,female
34, 'Adam Driver',1983-11-19 00:00:00,American,male
35, 'Daisy Ridley',1992-04-10 00:00:00,English,female
36, 'John Boyega',1992-03-17 00:00:00,English,male
37, 'Oscar Isaac',1979-03-09 00:00:00,Guatemalan-American,male
38," ""Lupita Nyong'o""",1983-03-01 00:00:00,Kenyan-Mexican,female
39, 'Andy Serkis',1964-04-20 00:00:00,English,male
40, 'Domhnall Gleeson',1983-05-12 00:00:00,Irish,male
41, 'Anthony Daniels',1946-02-21 00:00:00,English,male
42, 'Peter Mayhew',Peter William Mayhew May 19 1944 April 30 2019 was an English American actor best known for portraying Chewbacca in the Star Wars film series no bday found,English-American,male
43, 'Max von Sydow'],Carl Adolf von Sydow,Swedish-French,male
44, 'Benedict Cumberbatch',1976-07-19 00:00:00,English,male
45, 'Tom Holland',1996-06-01 00:00:00,English,male
46, 'Chadwick Boseman',Chadwick Aaron Boseman November 29 1976 August 28 2020 was an American actor and playwright no bday found,American,male
47, 'Sebastian Stan',1982-08-13 00:00:00,Romanian-American,male
48, 'Letitia Wright',1993-10-31 00:00:00,Guyanese,female
49, 'Dave Bautista',David Michael Bautista Jr no bday found,,unclear
50, 'Zoe Saldana',1978-06-19 00:00:00,American,female
51, 'Josh Brolin',1968-02-12 00:00:00,American,male
52, 'Chris Pratt'],1979-06-21 00:00:00,American,male
53, 'Orlando Bloom',1977-01-13 00:00:00,English,male
54, 'Keira Knightley',1985-03-26 00:00:00,English,female
55, 'Bill Nighy',1949-12-12 00:00:00,English,male
56, 'Chow Yun-fat',1955-05-18 00:00:00,Kong,male
57, 'Geoffrey Rush',1951-07-06 00:00:00,Australian,male
58, 'Jack Davenport',1973-03-01 00:00:00,English,male
59, 'Jonathan Pryce'],John Price 1,Welsh,male
60,error,An error from the Latin error meaning wandering is an action which is inaccurate or incorrect no bday found,,unclear
61,['Carrie Fisher',Carrie Frances Fisher October 21 1956 December 27 2016 was an American actress and writer no bday found,American,female
62, 'Naomi Ackie',1992-11-02 00:00:00,British,female
63, 'Richard E. Grant',Richard Grant Esterhuysen ,English,male
64, 'Keri Russell',1976-03-23 00:00:00,American,female
65, 'Joonas Suotamo',1986-10-03 00:00:00,Finnish,male
66, 'Kelly Marie Tran',Tr n Loan January,American,female
67, 'Ian McDiarmid',1944-08-11 00:00:00,Scottish,male
68, 'Billy Dee Williams'],William December Billy Dee Williams Jr no bday found,,unclear
69,['Alden Ehrenreich',1989-11-22 00:00:00,American,male
70, 'Woody Harrelson',1961-07-23 00:00:00,American,male
71, 'Emilia Clarke',1986-10-23 00:00:00,English,female
72, 'Donald Glover',Donald McKinley Glover Jr no bday found,,unclear
73, 'Thandiwe Newton',1972-11-06 00:00:00,English,female
74, 'Phoebe Waller-Bridge',1985-07-14 00:00:00,English,female
75, 'Paul Bettany'],1971-05-27 00:00:00,English,male
76,['Taylor Kitsch',1982-04-08 00:00:00,Canadian,male
77, 'Lynn Collins',1977-05-16 00:00:00,American,female
78, 'Samantha Morton',1977-05-13 00:00:00,English,female
79, 'Mark Strong',Marco Giuseppe Salussolia ,English,male
80, 'Ciarán Hinds',1953-02-09 00:00:00,Irish,male
81, 'Dominic West',as Peter Dominic West,English,male
82, 'James Purefoy',1964-06-03 00:00:00,English,male
83, 'Willem Dafoe'],1955-07-22 00:00:00,American,male
84,['Ben Affleck',1972-08-15 00:00:00,American,male
85, 'Henry Cavill',1983-05-05 00:00:00,English,male
86, 'Amy Adams',1974-08-20 00:00:00,American,female
87, 'Jesse Eisenberg',1983-10-05 00:00:00,American,male
88, 'Diane Lane',1965-01-22 00:00:00,American,female
89, 'Laurence Fishburne',1961-07-30 00:00:00,American,male
90, 'Jeremy Irons',1948-09-19 00:00:00,English,male
91, 'Holly Hunter',1958-03-20 00:00:00,American,female
92, 'Gal Gadot'], 1985 04 30 30,Israeli,female
93,['Matthew Broderick',1962-03-21 00:00:00,American,male
94, 'Jonathan Taylor Thomas',Jonathan Taylor Weiss ,American,male
95, 'James Earl Jones',1931-01-17 00:00:00,American,male
96, 'Moira Kelly',1968-03-06 00:00:00,American,female
97, 'Ernie Sabella',1949-09-19 00:00:00,American,male
98, 'Nathan Lane',Joseph Lane February,American,male
99, 'Robert Guillaume',Robert Peter Williams ,American,male
100, 'Rowan Atkinson',1955-01-06 00:00:00,English,male
101, 'Whoopi Goldberg',1955-11-13 00:00:00,American,male
102, 'Cheech Marin',1946-07-13 00:00:00,",",male
103, 'Jim Cummings',1952-11-03 00:00:00,voice,male
104, 'Madge Sinclair'],Madge Dorita Sinclair n e Walters April 28 1938 December 20 1995 was a Jamaican actress best known for her roles in Cornbread Earl and Me 1975 Convoy 1978 Coming to America 1988 Trapper John M D 1980 1986 and the ABC TV miniseries Roots 1977 no bday found,Jamaican,female
105,keyerror,Originally introduced by Richard E Bellman in Bellman 1957 stochastic dynamic programming is a technique for modelling and solving problems of decision making under uncertainty no bday found,,unclear
106,['Chris Evans',1981-06-13 00:00:00,American,male
107, 'Robert Downey Jr.',Robert John Downey Jr no bday found,,unclear
108, 'Emily VanCamp',1986-05-12 00:00:00,Canadian,female
109, 'Frank Grillo',1965-06-08 00:00:00,American,male
110, 'William Hurt',1950-03-20 00:00:00,American,male
111, 'Daniel Brühl'],1978-06-16 00:00:00,Spanish-German,male
112,['Daniel Radcliffe',1989-07-23 00:00:00,English,male
113, 'Rupert Grint',1988-08-24 00:00:00,English,male
114, 'Emma Watson',1990-04-15 00:00:00,English,female
115, 'Jim Broadbent',1949-05-24 00:00:00,English,male
116, 'Helena Bonham Carter',1966-05-26 00:00:00,English,female
117, 'Robbie Coltrane',1950-03-30 00:00:00,Scottish,male
118, 'Warwick Davis',1970-02-03 00:00:00,English,male
119, 'Michael Gambon',1940-10-19 00:00:00,Irish-English,male
120, 'Alan Rickman',Alan Sidney Patrick Rickman 21 February 1946 14 January 2016 was an English actor and director no bday found,English,male
121, 'Maggie Smith',1934-12-28 00:00:00,English,female
122, 'Timothy Spall',1957-02-27 00:00:00,English,male
123, 'David Thewlis',1963-03-20 00:00:00,English,male
124, 'Julie Walters'],1950-02-22 00:00:00,English,female
125,['Ian McKellen',1939-05-25 00:00:00,English,male
126, 'Martin Freeman',1971-09-08 00:00:00,English,male
127, 'Richard Armitage',1971-08-22 00:00:00,English,male
128, 'Evangeline Lilly',1979-08-03 00:00:00,Canadian,female
