1917	keyerror
2012	0
10,000 BC 	['Steven Strait', 'Camilla Belle', 'Cliff Curtis']
102 Dalmatians	['Glenn Close', 'Ioan Gruffudd', 'Alice Evans', 'Tim McInnerny', 'Gérard Depardieu']
300: Rise of an Empire	0
A Good Day to Die Hard	['Bruce Willis', 'Jai Courtney', 'Sebastian Koch', 'Yulia Snigir', 'Cole Hauser', 'Amaury Nolasco', 'Sergei Kolesnikov']
A Wrinkle in Time	keyerror
	keyerror
After Earth	['Jaden Smith', 'Will Smith']
Air Force One	error
Aladdin	keyerror
Alexander	keyerror
Alien: Covenant	['Michael Fassbender', 'Katherine Waterston', 'Billy Crudup', 'Danny McBride', 'Demián Bichir']
Alita: Battle Angel	['Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly', 'Mahershala Ali', 'Ed Skrein', 'Jackie Earle Haley', 'Keean Johnson']
Alvin and the Chipmunks: Chipwrecked	['Jason Lee', 'David Cross', 'Jenny Slate', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Christina Applegate', 'Anna Faris', 'Amy Poehler', 'Alan Tudyk']
Alvin and the Chipmunks: The Road Chip	['Jason Lee', 'Tony Hale', 'Kimberly Williams-Paisley', 'Bella Thorne', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Kaley Cuoco', 'Anna Faris', 'Christina Applegate']
	['Russell Crowe', 'Denzel Washington', 'Chiwetel Ejiofor', 'Cuba Gooding Jr.', 'Josh Brolin', 'Ted Levine', 'Armand Assante', 'John Ortiz', 'John Hawkes', 'RZA']
	keyerror
Angels & Demons	keyerror
Ant-Man and the Wasp	0
	0
Aquaman	0
Armageddon	error
	keyerror
Artemis Fowl	keyerror
	keyerror
Atlantis: The Lost Empire	['Michael J. Fox', 'James Garner', 'Cree Summer', 'Don Novello', 'Phil Morris', 'Claudia Christian', 'Jacqueline Obradors', 'Florence Stanley', 'David Ogden Stiers', 'John Mahoney', 'Jim Varney', 'Corey Burton', 'Leonard Nimoy']
Australia	keyerror
Avatar	error
	keyerror
Avengers: Age of Ultron	['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Stellan Skarsgård', 'James Spader', 'Samuel L. Jackson']
Avengers: Endgame	['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']
Avengers: Endgame	['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']
Avengers: Infinity War	['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Don Cheadle', 'Tom Holland', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Danai Gurira', 'Letitia Wright', 'Dave Bautista', 'Zoe Saldana', 'Josh Brolin', 'Chris Pratt']
Bad Boys For Life	['Martin Lawrence', 'Paola Núñez', 'Vanessa Hudgens', 'Alexander Ludwig', 'Charles Melton', 'Kate del Castillo', 'Nicky Jam', 'Joe Pantoliano']
Bad Boys II	['Martin Lawrence', 'Will Smith', 'Jordi Mollà', 'Gabrielle Union', 'Peter Stormare', 'Theresa Randle', 'Joe Pantoliano']
	['Arnold Schwarzenegger', 'George Clooney',"Chris O'Donnell", 'Uma Thurman', 'Alicia Silverstone', 'Michael Gough', 'Pat Hingle', 'Elle Macpherson']
Batman Begins	['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Ken Watanabe', 'Morgan Freeman']
Batman Forever	['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman',"Chris O'Donnell", 'Michael Gough', 'Pat Hingle']
Batman Returns	['Michael Keaton', 'Danny DeVito', 'Michelle Pfeiffer', 'Christopher Walken', 'Michael Gough', 'Pat Hingle', 'Michael Murphy', 'Vincent Schiavelli']
Batman v Superman: Dawn of Justice	['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane', 'Laurence Fishburne', 'Jeremy Irons', 'Holly Hunter', 'Gal Gadot']
	keyerror
Battleship	error
Beauty and the Beast	0
	['Keri Russell', 'Guy Pearce', 'Russell Brand', 'Richard Griffiths', 'Jonathan Pryce', 'Courteney Cox', 'Lucy Lawless', 'Teresa Palmer']
Bee Movie	['Renée Zellweger', 'Matthew Broderick', 'John Goodman', 'Patrick Warburton', 'Chris Rock']
Beowulf	keyerror
	['Robin Williams', 'Sam Neill', 'Embeth Davidtz', 'Wendy Crewson', 'Oliver Platt']
	['Mary Elizabeth Winstead', 'Jurnee Smollett-Bell', 'Rosie Perez', 'Chris Messina', 'Ella Jay Basco', 'Ali Wong', 'Ewan McGregor']
	['Josh Hartnett', 'Eric Bana', 'Ewan McGregor', 'Tom Sizemore', 'William Fichtner', 'Sam Shepard']
Bruce Almighty	['Jim Carrey', 'Morgan Freeman', 'Jennifer Aniston', 'Philip Baker Hall']
Bumblebee	keyerror
Captain America: Civil War	['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Frank Grillo', 'William Hurt', 'Daniel Brühl']
Captain America: The First Avenger	['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan', 'Dominic Cooper', 'Neal McDonough', 'Derek Luke', 'Stanley Tucci']
Captain America: The Winter Soldier	['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Emily VanCamp', 'Hayley Atwell', 'Robert Redford', 'Samuel L. Jackson']
	keyerror
	['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']
Cars 2	0
Cars 3	['Owen Wilson', 'Cristela Alonzo', 'Chris Cooper', 'Armie Hammer', 'Larry the Cable Guy', 'Bonnie Hunt', 'Nathan Fillion', 'Lea DeLaria', 'Kerry Washington']
	['Daniel Craig', 'Eva Green', 'Mads Mikkelsen', 'Jeffrey Wright', 'Judi Dench']
Cast Away	['Helen Hunt', 'Nick Searcy']
	keyerror
Cats & Dogs: The Revenge of Kitty Galore	0
Catwoman	keyerror
