,Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross ,Wiki,Unnamed: 0,variable,Actor
0,4/23/2019,2019,Avengers: Endgame,"  $400,000,000 ","  $858,373,000 ","  $2,797,800,564 ",<WikipediaPage 'Avengers: Endgame'>,0,0,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']"
1,4/25/2012,2012,The Avengers,"  $225,000,000 ","  $623,357,910 ","  $1,515,100,211 ",<WikipediaPage 'Avengers: Endgame'>,0,0,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']"
2,5/20/2011,2011,Pirates of the Caribbean: On Stranger Tides,"  $379,000,000 ","  $241,071,802 ","  $1,045,713,802 ",<WikipediaPage 'Pirates of the Caribbean: On Stranger Tides'>,6,1,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin R. McNally', 'Geoffrey Rush']"
3,4/22/2015,2015,Avengers: Age of Ultron,"  $365,000,000 ","  $459,005,868 ","  $1,395,316,979 ",<WikipediaPage 'Avengers: Age of Ultron'>,12,2,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Stellan Skarsgård', 'James Spader', 'Samuel L. Jackson']"
4,12/16/2015,2015,Star Wars Ep. VII: The Force Awakens,"  $306,000,000 ","  $936,662,225 ","  $2,064,615,817 ",<WikipediaPage 'Star Wars: The Force Awakens'>,18,3,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', ""Lupita Nyong'o"", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Peter Mayhew', 'Max von Sydow']"
5,4/25/2018,2018,Avengers: Infinity War,"  $300,000,000 ","  $678,815,482 ","  $2,044,540,523 ",<WikipediaPage 'Avengers: Infinity War'>,24,4,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Don Cheadle', 'Tom Holland', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Danai Gurira', 'Letitia Wright', 'Dave Bautista', 'Zoe Saldana', 'Josh Brolin', 'Chris Pratt']"
6,5/24/2007,2007,Pirates of the Caribbean: At Worlds End,"  $300,000,000 ","  $309,420,425 ","  $960,996,492 ",<WikipediaPage 'Pirates of the Caribbean: At World's End'>,30,5,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Chow Yun-fat', 'Geoffrey Rush', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']"
7,11/13/2017,2017,Justice League,"  $300,000,000 ","  $229,024,295 ","  $655,945,209 ",error,13,2,error
8,10/6/2015,2015,Spectre,"  $300,000,000 ","  $200,074,175 ","  $879,500,760 ",error,13,2,error
9,11/24/2010,2010,Tangled,"  $260,000,000 ","  $200,821,936 ","  $585,574,317 ",error,13,2,error
10,4/7/2017,2017,The Fate of the Furious,"  $250,000,000 ","  $225,764,765 ","  $1,236,703,796 ",error,13,2,error
11,7/2/2013,2013,The Lone Ranger,"  $225,000,000 ","  $89,302,115 ","  $260,002,115 ",error,13,2,error
12,5/23/2012,2012,Men in Black 3,"  $215,000,000 ","  $179,020,854 ","  $654,213,485 ",error,13,2,error
13,5/14/2010,2010,Robin Hood,"  $210,000,000 ","  $105,487,148 ","  $322,459,006 ",error,13,2,error
14,12/14/2005,2005,King Kong,"  $207,000,000 ","  $218,080,025 ","  $550,517,357 ",error,13,2,error
15,2/13/2018,2018,Black Panther,"  $200,000,000 ","  $700,059,566 ","  $1,336,494,321 ",error,13,2,error
16,12/18/1997,1997,Titanic,"  $200,000,000 ","  $659,363,944 ","  $2,207,986,545 ",error,13,2,error
17,6/20/2019,2019,Toy Story 4,"  $200,000,000 ","  $434,038,008 ","  $1,073,080,329 ",error,13,2,error
18,12/17/2010,2010,Tron: Legacy,"  $200,000,000 ","  $172,062,763 ","  $399,866,199 ",error,13,2,error
19,7/7/2021,2021,Black Widow,"  $200,000,000 ","  $132,012,671 ","  $264,012,671 ",error,13,2,error
20,5/21/2009,2009,Terminator Salvation,"  $200,000,000 ","  $125,322,469 ","  $365,491,792 ",error,13,2,error
